LIBELLE;COMMUNE;DEPARTEMEN;X_WGS84;Y_WGS84
Nortkerque;NORTKERQUE;PAS-DE-CALAIS;2.023379597770227;50.88288290487031
Barjac;BARJAC;LOZERE;3.410793616996402;44.49938407314612
Pontchateau;PONTCHATEAU;LOIRE-ATLANTIQUE;-2.088383489771248;47.4363076121587
Sens;SENS;YONNE;3.267375721688097;48.19875811256064
Sin-le-Noble;SIN-LE-NOBLE;NORD;3.112610047358653;50.3565404644949
Seltz;SELTZ;BAS-RHIN;8.098150966382955;48.896706059777365
Formerie;FORMERIE;OISE;1.722941150562096;49.654339909857434
Heming;HEMING;MOSELLE;6.971237167224244;48.69169925460745
Sarrebourg;SARREBOURG;MOSELLE;7.052269447443495;48.738716525799795
Theoule-sur-Mer;THEOULE-SUR-MER;ALPES-MARITIMES;6.936842591444163;43.51340542778221
Tenay-Hauteville;TENAY;AIN;5.500960316594447;45.92229568025614
Laluque;LALUQUE;LANDES;-0.967297983881243;43.82458727060245
Sommesous;SOMMESOUS;MARNE;4.194058747735006;48.73642328461103
Badan;GRIGNY;RHONE;4.780173433172134;45.60183828378189
Jarville-la-Malgrange;JARVILLE-LA-MALGRANGE;MEURTHE-ET-MOSELLE;6.198019041403032;48.672218883839285
Benestroff;BENESTROFF;MOSELLE;6.750598020177406;48.90618393340398
Villefort;VILLEFORT;LOZERE;3.924035262276116;44.43946205033167
Neuilly-sur-Marne;NEUILLY-SUR-MARNE;SEINE-SAINT-DENIS;2.521345042686296;48.860010560437516
Macon-Port-Fluvial;MACON;SAONE-ET-LOIRE;4.818121512425271;46.29382893508856
Solignac-Le Vigen;LE VIGEN;HAUTE-VIENNE;1.284637857090242;45.756732062197486
Frevin-Capelle;FREVIN-CAPELLE;PAS-DE-CALAIS;2.633359694784462;50.34727761405151
Ambazac;AMBAZAC;HAUTE-VIENNE;1.408664883191938;45.9537576316964
Rochefort;ROCHEFORT;CHARENTE-MARITIME;-0.963548062025048;45.94746632056426
Rivesaltes;RIVESALTES;PYRENEES-ORIENTALES;2.867751282195064;42.7663405557871
Flere-la-Riviere;FLERE-LA-RIVIERE;INDRE;1.108829467082647;47.02141318087097
Lantenay;LANTENAY;COTE-D'OR;4.861075071153688;47.335118514203444
St-Chamond;SAINT-CHAMOND;LOIRE;4.517096513613868;45.47242263210801
La Bleuse-Borne;ANZIN;NORD;3.518098618427038;50.38614910576885
Verneuil-sur-Serre;VERNEUIL-SUR-SERRE;AISNE;3.666258430210547;49.64702811623633
Roanne;ROANNE;LOIRE;4.06306753627084;46.03936961727752
Fleurieux-sur-l'Arbresle;FLEURIEUX-SUR-L'ARBRESLE;RHONE;4.660592553132625;45.844585178584154
Nanterre-Universite;NANTERRE;HAUTS-DE-SEINE;2.207658698986693;48.89912157677641
Cannes;CANNES;ALPES-MARITIMES;7.018725988316509;43.55401070550098
